Pond,Group,CALMAC,LESCON,LESDIS,LESDRY,LESEUR,LESFOR,LESREC,LESUNI,ARGFUM,CHRCON,COERES,ENAANN,ENAANT,ENAASP,ENABOR,ENACIV,ENAEBR,ENAHAG,ISCVER,NAHIRE,AESCAN,AESCON,AESTUB,AESUMB,ANAJUN,ARICOR,DRONSPI,GOMFRA,GOMSPI,EPICYN,EPIPRI,CORSHU,DORLIB,EPICAN,CALELI,ERYSIM,LEUFRI,LEUINT,LEUPRO,LADJUL,LIBINC,LIBLUC,LIBPUL,LIBQUA,PLALYD,SYMCOS,SYMINT,SYMOBT,SYMSEM,SYMVIC,PERTEN,PACLON
SWF-1127,1,0,0,4,0,0,0,8,0,0,0,0,14,0,0,0,0,13,1,170,49,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,1,9,0,5,0,0,2,0,2,0,0
SWF-1133,1,0,0,1,0,0,0,5,0,0,0,4,0,0,0,3,0,13,3,20,42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,1,0,2,0,0
SWF-1134,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
SWF-1204,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,69,4,142,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2,2,0,0,0,0,2,1,3,0,0
SWF-1205,1,0,4,12,0,0,0,1,1,0,0,0,0,0,0,0,0,35,2,19,41,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,27,3,2,0,0
SWF-1206,1,0,12,3,0,0,0,2,0,0,0,0,8,0,0,1,3,23,0,76,49,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,4,0,1,0,0,21,17,9,0,0
SWF-1207,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,141,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,4,0,0
SWF-1208,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,92,52,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,3,0,0,0,0,14,7,18,0,0
SWF-1209,1,0,2,13,17,0,0,0,0,0,0,0,0,0,0,0,0,114,0,114,274,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,9,0,0,0,0,11,5,70,0,0
SWF-1215,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,63,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,34,0,0,0,5,3,0,0,0,0,3,1,5,0,0
