OBJECTID,X,Y,geometry
SWF-1620,372596.0174,5029659.628,372596.017379294|5029659.62762274
SWF-1621,373231.3478,5023056.949,373231.347809471|5023056.94940913
SWF-1622,372205.9087,5029533.186,372205.908660765|5029533.18551673
SWF-1623,423058.6289,4985539.612,423058.628876139|4985539.61182715
SWF-1624,370320.1492,5025282.187,370320.149171196|5025282.18741482
SWF-1625,376104.1005,5026912.026,376104.10054592|5026912.02639223
SWF-1628,370597.0238,5029153.856,370597.023784347|5029153.85579872
SWF-1631,368358.5221,5020442.038,368358.522078024|5020442.03818493
SWF-1632,368276.6265,5025231.283,368276.626474135|5025231.2825124
SWF-1637,376127.3875,5026792.256,376127.387547026|5026792.25638654
SWF-1638,376230.938,5026916.797,376230.937951944|5026916.79659246
SWF-1639,369158.4409,5031706.332,369158.440916019|5031706.33151995
SWF-1641,376328.9039,5027187.983,376328.903856597|5027187.98300534
SWF-1952,393195.7478,5041469.22,393195.747757729|5041469.22008366
SWF-1411,365091.0932,5014139.692,365091.09322283|5014139.69198558
SWF-1417,364838.7286,5018566.068,364838.728610843|5018566.06799582
SWF-1436,365434.3197,5016978.055,365434.319739132|5016978.0550204
SWF-1609,369860.4397,5022756.791,369860.439749361|5022756.79079487
SWF-1907,383488.0299,5038006.675,383488.029896637|5038006.6748192
SWF-1917,384357.3199,5036727.202,384357.319937926|5036727.20185843
SWF-1926,385592.4216,5038842.545,385592.42159659|5038842.5448589
SWF-1931,385214.3287,5034049.453,385214.328678632|5034049.45263124
SWF-1949,385602.5574,5041516.908,385602.557397072|5041516.90758593
SWF-1806,377965.7135,5013325.179,377965.713534341|5013325.17904689
SWF-1904,382948.9203,5038852.443,382948.920271031|5038852.44265937
SWF-1141,362178.6162,5022781.199,362178.616184494|5022781.19939603
SWF-1143,360711.3381,5025977.647,360711.338114803|5025977.64704785
SWF-1235,350039.6917,5025166.354,350039.691707927|5025166.35370932
SWF-1606,376122.0865,5036516.094,376122.086546774|5036516.0937484
SWF-1607,372903.286,5034833.26,372903.285993889|5034833.26036847
SWF-1610,371757.2702,5023855.794,371757.270239456|5023855.79424707
SWF-1611,368153.0021,5023186.2,368153.002068263|5023186.19951527
SWF-1612,367751.2953,5022680.946,367751.295349183|5022680.94619127
SWF-1614,373749.6819,5032195.073,373749.68193409|5032195.07254316
SWF-1615,373837.0193,5032223.816,373837.019338239|5032223.81554453
SWF-1616,371215.7744,5025865.037,371215.774413737|5025865.03744251
SWF-1617,370856.7119,5026264.704,370856.711896682|5026264.70396149
SWF-1310,348435.7423,5014655.292,348435.742331743|5014655.29181007
