"","Pond","n.nine","n.three"
"1","NAT-1",59,12
"2","NAT-10",141,14
"3","NAT-11",96,14
"4","NAT-2",107,8
"5","NAT-3",23,3
"6","NAT-6",102,20
"7","NAT-7",96,10
"8","NAT-9",130,11
"9","SWF-1127",4,2
"10","SWF-1133",1,1
"11","SWF-1134",1,1
"12","SWF-1204",7,1
"13","SWF-1205",2,1
"14","SWF-1206",4,2
"15","SWF-1207",9,2
"16","SWF-1208",10,4
"17","SWF-1209",9,3
"18","SWF-1215",7,3
"19","SWF-1220",2,1
"20","SWF-1221",12,3
"21","SWF-1227",6,2
"22","SWF-1228",27,5
"23","SWF-1234",8,4
"24","SWF-1235",8,4
"25","SWF-1236",7,2
"26","SWF-1253",2,1
"27","SWF-1306",8,4
"28","SWF-1310",29,5
"29","SWF-1311",29,6
"30","SWF-1312",27,1
"31","SWF-1314",13,3
"32","SWF-1316",9,3
"33","SWF-1320",11,2
"34","SWF-1325",4,2
"35","SWF-1347",12,3
"36","SWF-1352",3,1
"37","SWF-1428",1,1
"38","SWF-1439",8,1
"39","SWF-1444",4,2
"40","SWF-1501",1,1
"41","SWF-1610",11,5
"42","SWF-1616",3,1
"43","SWF-1621",20,2
"44","SWF-1622",2,1
"45","SWF-1802",45,6
"46","SWF-1808",20,4
"47","SWF-1809",18,4
"48","SWF-1914",25,1
"49","TIM-2",26,4
