Point1,Point2,X1,Y1,X2,Y2
SWF-1133,SWF-1132,364633.025401073,5025702.45353478,364897.036613613,5024714.72668787
SWF-1501,60614,366175.004274312,5000166.00112187,364928.627415979,5000183.59028613
SWF-1622,SWF-1620,372205.908660765,5029533.18551673,372596.017379294,5029659.62762274
SWF-1133,25257,364633.025401073,5025702.45353478,367530.372124958,5026189.254452
SWF-1501,59513,366175.004274312,5000166.00112187,366610.044790935,5001669.39772361
SWF-1622,62148,372205.908660765,5029533.18551673,370846.115226271,5029053.90670668
SWF-1133,60901,364633.025401073,5025702.45353478,366339.124213779,5023286.01612893
SWF-1501,28749,366175.004274312,5000166.00112187,366555.255685716,5002102.32062826
SWF-1622,68693,372205.908660765,5029533.18551673,372336.512222168,5031103.9176731
SWF-1133,60970,364633.025401073,5025702.45353478,367039.86443589,5023720.68726127
SWF-1501,68632,366175.004274312,5000166.00112187,366547.865732215,5002195.03237745
SWF-1622,SWF-1628,372205.908660765,5029533.18551673,370597.023784347,5029153.85579872
SWF-1133,SWF-1128,364633.025401073,5025702.45353478,367126.551119508,5023720.55644065
SWF-1501,22150,366175.004274312,5000166.00112187,365897.775173441,5002212.62038979
SWF-1622,25695,372205.908660765,5029533.18551673,372900.193371945,5032359.26697319
SWF-1610,SWF-1621,371757.270239456,5023855.79424707,373231.347809471,5023056.94940913
SWF-1621,SWF-1621,373231.347809471,5023056.94940913,373231.347809471,5023056.94940913
SWF-1616,SWF-1624,371215.774413737,5025865.03744251,370320.149171196,5025282.18741482
SWF-1215,SWF-1235,349705.553992055,5023902.60364929,350039.691707927,5025166.35370932
SWF-1227,SWF-1235,348925.700655014,5024380.53027199,350039.691707927,5025166.35370932
SWF-1234,SWF-1235,350185.486214851,5025046.26560361,350039.691707927,5025166.35370932
SWF-1235,SWF-1235,350039.691707927,5025166.35370932,350039.691707927,5025166.35370932
SWF-1236,SWF-1235,349286.87787217,5024160.80056156,350039.691707927,5025166.35370932
SWF-1610,SWF-1610,371757.270239456,5023855.79424707,371757.270239456,5023855.79424707
SWF-1621,SWF-1610,373231.347809471,5023056.94940913,371757.270239456,5023855.79424707
SWF-1616,SWF-1616,371215.774413737,5025865.03744251,371215.774413737,5025865.03744251
SWF-1616,SWF-1617,371215.774413737,5025865.03744251,370856.711896682,5026264.70396149
SWF-1310,SWF-1310,348435.742331743,5014655.29181007,348435.742331743,5014655.29181007
TIM-2,SWF-1310,,,348435.742331743,5014655.29181007
SWF-1311,SWF-1310,348591.415239137,5014838.62241878,348435.742331743,5014655.29181007
SWF-1312,SWF-1310,349409.529477995,5013212.92964156,348435.742331743,5014655.29181007
SWF-1314,SWF-1320,350897.473348669,5014427.14439923,350743.942441377,5015037.25262821
SWF-1320,SWF-1320,350743.942441377,5015037.25262821,350743.942441377,5015037.25262821
SWF-1325,SWF-1320,351779.64759057,5015044.85782857,350743.942441377,5015037.25262821
SWF-1347,SWF-1320,351239.058964893,5016427.79519426,350743.942441377,5015037.25262821
SWF-1310,SWF-1334,348435.742331743,5014655.29181007,349778.674195529,5014503.55390286
TIM-2,SWF-1334,,,349778.674195529,5014503.55390286
SWF-1311,SWF-1334,348591.415239137,5014838.62241878,349778.674195529,5014503.55390286
SWF-1312,SWF-1334,349409.529477995,5013212.92964156,349778.674195529,5014503.55390286
SWF-1314,SWF-1334,350897.473348669,5014427.14439923,349778.674195529,5014503.55390286
SWF-1320,SWF-1334,350743.942441377,5015037.25262821,349778.674195529,5014503.55390286
SWF-1439,SWF-1439,360442.252602021,5017305.57203595,360442.252602021,5017305.57203595
SWF-1428,SWF-1449,361627.192658303,5014807.79241731,361240.564939939,5013988.60387841
SWF-1444,SWF-1449,,,361240.564939939,5013988.60387841
SWF-1914,SWF-1914,387185.069872237,5037170.43847948,387185.069872237,5037170.43847948
SWF-1914,SWF-1938,387185.069872237,5037170.43847948,386738.977251049,5035815.26511512
SWF-1802,SWF-1802,375777.532330408,5014557.25790541,375777.532330408,5014557.25790541
SWF-1802,SWF-1804,375777.532330408,5014557.25790541,376868.346782219,5014908.5637221
SWF-1221,SWF-1223,341406.731597883,5023127.75891249,341293.717992515,5023021.52990744
SWF-1221,SWF-1224,341406.731597883,5023127.75891249,341357.212695531,5022882.98350086
SWF-1221,SWF-1225,341406.731597883,5023127.75891249,341016.832879364,5023612.2637355
SWF-1215,SWF-1227,349705.553992055,5023902.60364929,348925.700655014,5024380.53027199
SWF-1227,SWF-1227,348925.700655014,5024380.53027199,348925.700655014,5024380.53027199
SWF-1228,SWF-1227,349066.788361716,5022696.74379202,348925.700655014,5024380.53027199
SWF-1234,SWF-1227,350185.486214851,5025046.26560361,348925.700655014,5024380.53027199
SWF-1235,SWF-1227,350039.691707927,5025166.35370932,348925.700655014,5024380.53027199
SWF-1236,SWF-1227,349286.87787217,5024160.80056156,348925.700655014,5024380.53027199
SWF-1215,SWF-1228,349705.553992055,5023902.60364929,349066.788361716,5022696.74379202
SWF-1227,SWF-1228,348925.700655014,5024380.53027199,349066.788361716,5022696.74379202
SWF-1228,SWF-1228,349066.788361716,5022696.74379202,349066.788361716,5022696.74379202
SWF-1236,SWF-1228,349286.87787217,5024160.80056156,349066.788361716,5022696.74379202
NAT-1,SWF-1228,,,349066.788361716,5022696.74379202
SWF-1215,SWF-1229,349705.553992055,5023902.60364929,348589.389239041,5023165.72781429
SWF-1227,SWF-1229,348925.700655014,5024380.53027199,348589.389239041,5023165.72781429
SWF-1228,SWF-1229,349066.788361716,5022696.74379202,348589.389239041,5023165.72781429
SWF-1236,SWF-1229,349286.87787217,5024160.80056156,348589.389239041,5023165.72781429
NAT-1,SWF-1229,,,348589.389239041,5023165.72781429
SWF-1215,SWF-1230,349705.553992055,5023902.60364929,348796.641948884,5023000.47000645
SWF-1227,SWF-1230,348925.700655014,5024380.53027199,348796.641948884,5023000.47000645
SWF-1228,SWF-1230,349066.788361716,5022696.74379202,348796.641948884,5023000.47000645
SWF-1236,SWF-1230,349286.87787217,5024160.80056156,348796.641948884,5023000.47000645
NAT-1,SWF-1230,,,348796.641948884,5023000.47000645
SWF-1215,SWF-1231,349705.553992055,5023902.60364929,348831.315650532,5022972.92870514
SWF-1227,SWF-1231,348925.700655014,5024380.53027199,348831.315650532,5022972.92870514
SWF-1228,SWF-1231,349066.788361716,5022696.74379202,348831.315650532,5022972.92870514
SWF-1236,SWF-1231,349286.87787217,5024160.80056156,348831.315650532,5022972.92870514
NAT-1,SWF-1231,,,348831.315650532,5022972.92870514
SWF-1215,SWF-1232,349705.553992055,5023902.60364929,348995.152958313,5022854.05039949
SWF-1227,SWF-1232,348925.700655014,5024380.53027199,348995.152958313,5022854.05039949
SWF-1228,SWF-1232,349066.788361716,5022696.74379202,348995.152958313,5022854.05039949
SWF-1236,SWF-1232,349286.87787217,5024160.80056156,348995.152958313,5022854.05039949
NAT-1,SWF-1232,,,348995.152958313,5022854.05039949
SWF-1215,SWF-1233,349705.553992055,5023902.60364929,349124.171564441,5022783.83009616
SWF-1227,SWF-1233,348925.700655014,5024380.53027199,349124.171564441,5022783.83009616
SWF-1228,SWF-1233,349066.788361716,5022696.74379202,349124.171564441,5022783.83009616
SWF-1236,SWF-1233,349286.87787217,5024160.80056156,349124.171564441,5022783.83009616
NAT-1,SWF-1233,,,349124.171564441,5022783.83009616
SWF-1215,SWF-1234,349705.553992055,5023902.60364929,350185.486214851,5025046.26560361
SWF-1227,SWF-1234,348925.700655014,5024380.53027199,350185.486214851,5025046.26560361
SWF-1234,SWF-1234,350185.486214851,5025046.26560361,350185.486214851,5025046.26560361
SWF-1235,SWF-1234,350039.691707927,5025166.35370932,350185.486214851,5025046.26560361
SWF-1236,SWF-1234,349286.87787217,5024160.80056156,350185.486214851,5025046.26560361
SWF-1215,SWF-1236,349705.553992055,5023902.60364929,349286.87787217,5024160.80056156
SWF-1227,SWF-1236,348925.700655014,5024380.53027199,349286.87787217,5024160.80056156
SWF-1228,SWF-1236,349066.788361716,5022696.74379202,349286.87787217,5024160.80056156
SWF-1234,SWF-1236,350185.486214851,5025046.26560361,349286.87787217,5024160.80056156
SWF-1235,SWF-1236,350039.691707927,5025166.35370932,349286.87787217,5024160.80056156
SWF-1236,SWF-1236,349286.87787217,5024160.80056156,349286.87787217,5024160.80056156
SWF-1802,SWF-1805,375777.532330408,5014557.25790541,377152.317195707,5014438.34659977
SWF-1808,SWF-1808,375576.215820846,5010519.53521363,375576.215820846,5010519.53521363
SWF-1809,SWF-1808,375628.191623315,5010576.79681635,375576.215820846,5010519.53521363
SWF-1808,SWF-1809,375576.215820846,5010519.53521363,375628.191623315,5010576.79681635
SWF-1809,SWF-1809,375628.191623315,5010576.79681635,375628.191623315,5010576.79681635
SWF-1134,SWF-1134,360681.983013408,5020000.49276395,360681.983013408,5020000.49276395
SWF-1127,SWF-1135,365215.388828733,5021495.89233498,366841.29710596,5022286.28807252
SWF-1127,SWF-1144,365215.388828733,5021495.89233498,363750.037559133,5021016.3800122
SWF-1204,SWF-1204,351251.890265503,5022682.43999134,351251.890265503,5022682.43999134
SWF-1215,SWF-1204,349705.553992055,5023902.60364929,351251.890265503,5022682.43999134
SWF-1205,SWF-1205,352738.526636114,5020215.27907415,352738.526636114,5020215.27907415
SWF-1206,SWF-1205,352065.453704145,5019636.76084668,352738.526636114,5020215.27907415
SWF-1205,SWF-1206,352738.526636114,5020215.27907415,352065.453704145,5019636.76084668
SWF-1206,SWF-1206,352065.453704145,5019636.76084668,352065.453704145,5019636.76084668
SWF-1207,SWF-1207,349758.002494547,5019065.37041954,349758.002494547,5019065.37041954
SWF-1208,SWF-1207,349953.910503852,5018864.50641,349758.002494547,5019065.37041954
SWF-1209,SWF-1207,349211.369268583,5019187.08442532,349758.002494547,5019065.37041954
SWF-1253,SWF-1207,349221.790069078,5017815.78826019,349758.002494547,5019065.37041954
SWF-1316,SWF-1207,350370.871223657,5017808.40845983,349758.002494547,5019065.37041954
SWF-1207,SWF-1208,349758.002494547,5019065.37041954,349953.910503852,5018864.50641
SWF-1208,SWF-1208,349953.910503852,5018864.50641,349953.910503852,5018864.50641
SWF-1209,SWF-1208,349211.369268583,5019187.08442532,349953.910503852,5018864.50641
SWF-1253,SWF-1208,349221.790069078,5017815.78826019,349953.910503852,5018864.50641
SWF-1316,SWF-1208,350370.871223657,5017808.40845983,349953.910503852,5018864.50641
SWF-1207,SWF-1209,349758.002494547,5019065.37041954,349211.369268583,5019187.08442532
SWF-1208,SWF-1209,349953.910503852,5018864.50641,349211.369268583,5019187.08442532
SWF-1209,SWF-1209,349211.369268583,5019187.08442532,349211.369268583,5019187.08442532
SWF-1253,SWF-1209,349221.790069078,5017815.78826019,349211.369268583,5019187.08442532
SWF-1316,SWF-1209,350370.871223657,5017808.40845983,349211.369268583,5019187.08442532
