OBJECTID,X,Y,geometry
SWF-1133,364633.025401073,5025702.45353478,364633.025401073|5025702.45353478
SWF-1501,366175.004274312,5000166.00112187,366175.004274312|5000166.00112187
SWF-1622,372205.908660765,5029533.18551673,372205.908660765|5029533.18551673
SWF-1610,371757.270239456,5023855.79424707,371757.270239456|5023855.79424707
SWF-1621,373231.347809471,5023056.94940913,373231.347809471|5023056.94940913
SWF-1616,371215.774413737,5025865.03744251,371215.774413737|5025865.03744251
SWF-1215,349705.553992055,5023902.60364929,349705.553992055|5023902.60364929
SWF-1227,348925.700655014,5024380.53027199,348925.700655014|5024380.53027199
SWF-1234,350185.486214851,5025046.26560361,350185.486214851|5025046.26560361
SWF-1235,350039.691707927,5025166.35370932,350039.691707927|5025166.35370932
SWF-1236,349286.87787217,5024160.80056156,349286.87787217|5024160.80056156
SWF-1310,348435.742331743,5014655.29181007,348435.742331743|5014655.29181007
TIM-2,348305.5,5014568.5,348305.5|5014568.5
SWF-1311,348591.415239137,5014838.62241878,348591.415239137|5014838.62241878
SWF-1312,349409.529477995,5013212.92964156,349409.529477995|5013212.92964156
SWF-1314,350897.473348669,5014427.14439923,350897.473348669|5014427.14439923
SWF-1320,350743.942441377,5015037.25262821,350743.942441377|5015037.25262821
SWF-1325,351779.64759057,5015044.85782857,351779.64759057|5015044.85782857
SWF-1347,351239.058964893,5016427.79519426,351239.058964893|5016427.79519426
SWF-1439,360442.252602021,5017305.57203595,360442.252602021|5017305.57203595
SWF-1428,361627.192658303,5014807.79241731,361627.192658303|5014807.79241731
SWF-1444,361154,5014021.5,361154|5014021.5
SWF-1914,387185.069872237,5037170.43847948,387185.069872237|5037170.43847948
SWF-1802,375777.532330408,5014557.25790541,375777.532330408|5014557.25790541
SWF-1221,341406.731597883,5023127.75891249,341406.731597883|5023127.75891249
SWF-1228,349066.788361716,5022696.74379202,349066.788361716|5022696.74379202
NAT-1,348369.7813,5022168,348369.7813|5022168
SWF-1808,375576.215820846,5010519.53521363,375576.215820846|5010519.53521363
SWF-1809,375628.191623315,5010576.79681635,375628.191623315|5010576.79681635
SWF-1134,360681.983013408,5020000.49276395,360681.983013408|5020000.49276395
SWF-1127,365215.388828733,5021495.89233498,365215.388828733|5021495.89233498
SWF-1204,351251.890265503,5022682.43999134,351251.890265503|5022682.43999134
SWF-1205,352738.526636114,5020215.27907415,352738.526636114|5020215.27907415
SWF-1206,352065.453704145,5019636.76084668,352065.453704145|5019636.76084668
SWF-1207,349758.002494547,5019065.37041954,349758.002494547|5019065.37041954
SWF-1208,349953.910503852,5018864.50641,349953.910503852|5018864.50641
SWF-1209,349211.369268583,5019187.08442532,349211.369268583|5019187.08442532
SWF-1253,349221.790069078,5017815.78826019,349221.790069078|5017815.78826019
SWF-1316,350370.871223657,5017808.40845983,350370.871223657|5017808.40845983
SWF-1220,332384.92576937,5030790.98197647,332384.92576937|5030790.98197647
SWF-1306,352812.866039645,5016413.9862936,352812.866039645|5016413.9862936
SWF-1352,353632.026778553,5015481.1864493,353632.026778553|5015481.1864493
NAT-3,355301.4688,4989989,355301.4688|4989989
NAT-10,337577.3438,5027708,337577.3438|5027708
NAT-2,337878.25,5027308.5,337878.25|5027308.5
NAT-6,337405.6563,5026972,337405.6563|5026972
NAT-7,338364.5,5028036,338364.5|5028036
NAT-9,337702.9688,5027617,337702.9688|5027617
NAT-11,338428.4688,5027688.5,338428.4688|5027688.5
SWF-1132,364897.036613613,5024714.72668787,364897.036613613|5024714.72668787
60614,364928.627415979,5000183.59028613,364928.627415979|5000183.59028613
SWF-1620,372596.017379294,5029659.62762274,372596.017379294|5029659.62762274
25257,367530.372124958,5026189.254452,367530.372124958|5026189.254452
59513,366610.044790935,5001669.39772361,366610.044790935|5001669.39772361
62148,370846.115226271,5029053.90670668,370846.115226271|5029053.90670668
60901,366339.124213779,5023286.01612893,366339.124213779|5023286.01612893
28749,366555.255685716,5002102.32062826,366555.255685716|5002102.32062826
68693,372336.512222168,5031103.9176731,372336.512222168|5031103.9176731
