Pond,CALMAC,LESCON,LESDIS,LESDRY,LESEUR,LESFOR,LESREC,LESUNI,ARGFUM,CHRCON,COERES,ENAANN,ENAANT,ENAASP,ENABOR,ENACIV,ENAEBR,ENAHAG,ISCVER,NAHIRE,abundance,speciescount,shannon,simpson,Group,ID.two,mean.two,median.two,sum.two,sd.two,geometry.two,ID.threeh,mean.threeh,median.threeh,sum.threeh,sd.threeh,geometry.threeh,V1,n.two,n.threeh
SWF-1127,0,0,4,0,0,0,8,0,0,0,0,14,0,0,0,0,13,1,170,49,259,7,1.09251615843507,0.526736333686141,SWF,1,-0.739278715710602,-0.822336256504059,-924.837673353963,0.224083609766383,365247.0313|5021426,1,-0.73757032111839,-0.631255984306335,-19.9143986701965,0.186754797189524,365247.0313|5021426,9,9,2
SWF-1133,0,0,1,0,0,0,5,0,0,0,4,0,0,0,3,0,13,3,20,42,91,8,1.53915454141092,0.711025238497766,SWF,2,-0.90053900200338,-0.91141402721405,-1127.47483050823,0.0706646402000224,364703.125|5025658.5,2,-0.851772272161075,-0.862933397293091,-23.8496236205101,0.0394854542007259,364703.125|5025658.5,10,2,1
SWF-1134,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.693147180559945,0.5,SWF,3,-0.765097294050522,-0.854487806558609,-962.492395915557,0.224412692371294,360658.3125|5019989.5,3,-0.64049720125539,-0.679417580366135,-17.9339216351509,0.20864598997484,360658.3125|5019989.5,11,16,1
SWF-1204,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,69,4,142,99,323,5,1.2076280049551,0.666219363743542,SWF,4,-0.656014040504495,-0.723249226808548,-825.265662954655,0.233998753403419,351276.625|5022644,4,-0.551225563575482,-0.593116283416748,-15.985541343689,0.172932659539875,351276.625|5022644,12,28,1
SWF-1205,0,4,12,0,0,0,1,1,0,0,0,0,0,0,0,0,35,2,19,41,115,8,1.53285970145696,0.740415879017013,SWF,5,-0.658665814526181,-0.78262385725975,-828.601594673935,0.269113208229903,352675.7188|5020191.5,5,-0.672534773575849,-0.746495723724365,-19.5035084336996,0.220226788093834,352675.7188|5020191.5,13,18,1
SWF-1206,0,12,3,0,0,0,2,0,0,0,0,8,0,0,1,3,23,0,76,49,177,9,1.52426455935589,0.714737144498707,SWF,6,-0.745490904220429,-0.835047245025635,-937.827557509299,0.210942448219864,351979.6875|5019606.5,6,-0.522428252316755,-0.552789747714996,-15.1504193171859,0.219211908188698,351979.6875|5019606.5,14,9,2
SWF-1207,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,141,6,156,5,0.442464917311756,0.180391190006575,SWF,7,-0.62876868655458,-0.745987832546234,-790.991007685661,0.342404081172992,349923.375|5019074,7,-0.758000076009796,-0.853759109973908,-21.9820022042841,0.262877289556683,349923.375|5019074,15,28,2
SWF-1208,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,92,52,203,4,1.12510374257913,0.652672959790337,SWF,8,-0.640585162357518,-0.753497421741486,-803.293793596327,0.33240330548581,350005.6875|5018870,8,-0.514362003321626,-0.568313017487526,-14.4021360930055,0.341143673989636,350005.6875|5018870,16,25,4
SWF-1209,0,2,13,17,0,0,0,0,0,0,0,0,0,0,0,0,114,0,114,274,534,6,1.22281978981909,0.643949276887037,SWF,9,-0.560886261794824,-0.669924080371857,-703.912258552504,0.34381861504531,349163.375|5019219.5,9,-0.382883642168183,-0.287154749035835,-10.7207419807091,0.437897536684294,349163.375|5019219.5,17,39,3
SWF-1215,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,63,61,144,4,1.06920642125965,0.616030092592593,SWF,10,-0.716120133196065,-0.778632253408432,-900.879127560649,0.244607673727964,349880.3438|5023819,10,-0.761619352061173,-0.822065353393555,-22.086961209774,0.173645582679719,349880.3438|5023819,18,46,3
SWF-1220,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,18,15,54,4,1.16376015527272,0.674211248285323,SWF,11,-0.504416056644743,-0.507125586271286,-634.555399259087,0.304961935243486,332380.2813|5030798,11,-0.618558270150218,-0.688229024410248,-17.9381898343563,0.242844388323637,332380.2813|5030798,19,93,1
SWF-1221,0,3,4,0,0,0,0,0,0,0,10,0,0,0,0,0,20,0,89,181,307,6,1.06170732323287,0.562785812051056,SWF,12,-0.441803783751779,-0.463849753141403,-554.463748608483,0.309013595253451,341445.2188|5023177,12,-0.785897330001549,-0.794527351856232,-21.2192279100418,0.101305356825391,341445.2188|5023177,20,163,3
SWF-1227,0,11,1,0,1,0,2,0,0,0,0,11,0,0,0,32,3,0,87,1,149,9,1.26654105466205,0.601324264672762,SWF,13,-0.699562259681951,-0.783019959926605,-875.851949121803,0.260397062193031,348945.9063|5024316.5,13,-0.731288344732353,-0.776185184717178,-20.4760736525059,0.1820409598455,348945.9063|5024316.5,21,34,2
SWF-1228,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,37,0,48,6,99,6,1.17602960494769,0.619120497908377,SWF,14,-0.561011139526865,-0.524288415908814,-705.191002385269,0.287407293172071,348985.375|5022656,14,-0.67537062721593,-0.59782075881958,-18.9103775620461,0.209217775097832,348985.375|5022656,22,118,5
SWF-1234,0,0,1,0,0,0,0,0,0,0,0,0,2,0,13,256,88,6,340,1,707,8,1.12836621289543,0.621703754533869,SWF,15,-0.632250804250315,-0.782683968544006,-792.842508529895,0.389443911126446,350197.2188|5024972.5,15,-0.615326685032674,-0.602443814277649,-17.2291471809149,0.245588290828394,350197.2188|5024972.5,23,32,4
SWF-1235,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,103,3,40,122,274,7,1.16107027529263,0.638766050402259,SWF,16,-0.621137021589248,-0.773853659629822,-783.253784224042,0.396426078085007,349994.625|5025130.5,16,-0.824660238520852,-0.930887699127197,-23.9151469171047,0.212906287687042,349994.625|5025130.5,24,33,4
SWF-1236,0,50,8,0,0,0,0,3,0,0,0,1,0,0,3,3,18,0,180,83,349,9,1.34032439082035,0.653492171657047,SWF,17,-0.718706293702957,-0.799168914556503,-901.257692303509,0.247303612389182,349247.3438|5024186.5,17,-0.652573689286198,-0.675951808691025,-18.2720633000135,0.205969345900364,349247.3438|5024186.5,25,39,2
SWF-1253,0,1,0,0,0,0,0,0,2,0,0,1,2,0,0,6,4,0,99,4,119,8,0.749456555381348,0.302379775439587,SWF,18,-0.543598430799365,-0.655720591545105,-681.672432222404,0.31715817073542,349162.5938|5017846,18,-0.511587988585234,-0.652631402015686,-14.3244636803865,0.279821996158731,349162.5938|5017846,26,38,1
SWF-1306,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,123,1,0,137,0,267,7,0.835530863375904,0.52434456928839,SWF,19,-0.701095861390227,-0.78146630525589,-877.070922599174,0.217333585885479,352851.6875|5016353.5,19,-0.54489187296066,-0.748825371265411,-14.7120805699378,0.378054454999049,352851.6875|5016353.5,27,28,4
SWF-1310,0,0,4,0,0,0,0,0,12,0,0,0,0,0,12,30,51,6,117,156,388,8,1.51913830334536,0.72190190243384,SWF,20,-0.566870062508389,-0.577758073806763,-713.689408698061,0.35989768445284,348480.5|5014605.5,20,-0.725782052196306,-0.748843491077423,-21.0476795136929,0.101876847706278,348480.5|5014605.5,28,131,5
TIM-2,0,0,2,0,2,0,0,0,29,2,0,8,0,0,25,8,116,8,148,31,379,11,1.63767753278835,0.735514233401327,SWF,21,-0.556685697542421,-0.557989358901978,-696.970493323112,0.366221662172308,348305.5|5014568.5,21,-0.721520032733679,-0.748932838439941,-20.202560916543,0.16647798732914,348305.5|5014568.5,49,138,4
SWF-1311,0,0,1,0,0,0,0,0,3,0,3,0,0,0,0,3,11,4,72,8,105,8,1.1647695982921,0.509024943310658,SWF,22,-0.580669800018954,-0.593829989433289,-732.2246178239,0.350491875958982,348592.0625|5014807,22,-0.58210601011912,-0.600755274295807,-17.4631803035736,0.183004330646154,348592.0625|5014807,29,120,6
