Pond1,Pond2,Node1,Node2,Resistance
SWF-1127,SWF-1133,1,2,44.70061206
SWF-1127,SWF-1134,1,3,21.34512675
SWF-1127,SWF-1204,1,4,23.3421226
SWF-1127,SWF-1205,1,5,28.0702372
SWF-1127,SWF-1206,1,6,24.58229629
SWF-1127,SWF-1207,1,7,30.02240704
SWF-1127,SWF-1208,1,8,19.15139564
SWF-1127,SWF-1209,1,9,19.78030241
SWF-1127,SWF-1215,1,10,30.62538287
SWF-1127,SWF-1220,1,11,27.64192424
SWF-1127,SWF-1221,1,12,39.68205185
SWF-1127,SWF-1227,1,13,25.86464627
SWF-1127,SWF-1228,1,14,24.03606268
SWF-1127,SWF-1234,1,15,22.20355199
SWF-1127,SWF-1235,1,16,22.56109787
SWF-1127,SWF-1236,1,17,24.5388119
SWF-1127,SWF-1253,1,18,33.85748662
SWF-1127,SWF-1306,1,19,22.32806748
SWF-1127,SWF-1310,1,20,39.01582222
SWF-1127,TIM-2,1,21,38.07333192
SWF-1127,SWF-1311,1,22,21.42759255
SWF-1127,SWF-1312,1,23,39.0013098
SWF-1127,SWF-1314,1,24,36.31486833
SWF-1127,SWF-1316,1,25,19.90860767
SWF-1127,SWF-1320,1,26,31.11541252
SWF-1127,SWF-1325,1,27,34.57850604
SWF-1127,SWF-1347,1,28,26.1373522
SWF-1127,SWF-1352,1,29,27.78108915
SWF-1127,SWF-1428,1,30,42.36301762
SWF-1127,SWF-1439,1,31,18.84327594
SWF-1127,SWF-1444,1,32,39.56090944
SWF-1127,SWF-1501,1,33,46.6751686
SWF-1127,SWF-1610,1,34,35.21912893
SWF-1127,SWF-1616,1,35,28.96774081
SWF-1127,SWF-1621,1,36,18.00925786
SWF-1127,SWF-1622,1,37,45.19737608
SWF-1127,SWF-1802,1,38,17.37778617
SWF-1127,SWF-1808,1,39,18.60505209
SWF-1127,SWF-1809,1,40,18.11064682
SWF-1127,SWF-1914,1,41,45.87061146
SWF-1127,NAT-1,1,42,18.04256267
SWF-1127,NAT-2,1,43,17.36884135
SWF-1127,NAT-3,1,44,17.78919288
SWF-1127,NAT-6,1,47,18.0284489
SWF-1127,NAT-7,1,48,17.65655408
SWF-1127,NAT-9,1,49,18.019651
SWF-1127,NAT-10,1,50,17.54423128
SWF-1127,NAT-11,1,51,18.93563037
SWF-1133,SWF-1134,2,3,47.56311454
SWF-1133,SWF-1204,2,4,46.97650295
SWF-1133,SWF-1205,2,5,52.31641448
SWF-1133,SWF-1206,2,6,48.73488372
SWF-1133,SWF-1207,2,7,53.97252239
SWF-1133,SWF-1208,2,8,43.10738643
SWF-1133,SWF-1209,2,9,43.70752658
SWF-1133,SWF-1215,2,10,54.15099018
SWF-1133,SWF-1220,2,11,51.18025115
SWF-1133,SWF-1221,2,12,63.29849728
SWF-1133,SWF-1227,2,13,49.35571165
SWF-1133,SWF-1228,2,14,47.72655454
SWF-1133,SWF-1234,2,15,45.56434174
SWF-1133,SWF-1235,2,16,45.92625079
SWF-1133,SWF-1236,2,17,48.02191383
SWF-1133,SWF-1253,2,18,57.87289437
SWF-1133,SWF-1306,2,19,46.67492071
SWF-1133,SWF-1310,2,20,63.10851278
SWF-1133,TIM-2,2,21,62.16954716
SWF-1133,SWF-1311,2,22,45.51200077
SWF-1133,SWF-1312,2,23,63.14511368
SWF-1133,SWF-1314,2,24,60.53835886
SWF-1133,SWF-1316,2,25,43.95461577
SWF-1133,SWF-1320,2,26,55.30383275
SWF-1133,SWF-1325,2,27,58.84125068
SWF-1133,SWF-1347,2,28,50.31556458
SWF-1133,SWF-1352,2,29,52.27033023
SWF-1133,SWF-1428,2,30,68.06123741
SWF-1133,SWF-1439,2,31,44.5594133
SWF-1133,SWF-1444,2,32,65.04790018
SWF-1133,SWF-1501,2,33,71.28957212
SWF-1133,SWF-1610,2,34,59.84063525
SWF-1133,SWF-1616,2,35,52.81283085
SWF-1133,SWF-1621,2,36,42.78955846
SWF-1133,SWF-1622,2,37,68.41546798
SWF-1133,SWF-1802,2,38,42.33709163
SWF-1133,SWF-1808,2,39,43.42468557
SWF-1133,SWF-1809,2,40,42.93164979
SWF-1133,SWF-1914,2,41,69.6951597
SWF-1133,NAT-1,2,42,41.7402885
SWF-1133,NAT-2,2,43,40.91817605
SWF-1133,NAT-3,2,44,42.14988848
SWF-1133,NAT-6,2,47,41.57805131
SWF-1133,NAT-7,2,48,41.2011565
SWF-1133,NAT-9,2,49,41.56593675
SWF-1133,NAT-10,2,50,41.09006271
SWF-1133,NAT-11,2,51,42.48291544
SWF-1134,SWF-1204,3,4,21.8548371
SWF-1134,SWF-1205,3,5,25.58168517
SWF-1134,SWF-1206,3,6,22.48338744
SWF-1134,SWF-1207,3,7,28.64621943
SWF-1134,SWF-1208,3,8,17.779881
SWF-1134,SWF-1209,3,9,18.44632309
SWF-1134,SWF-1215,3,10,29.43733498
SWF-1134,SWF-1220,3,11,26.87204795
SWF-1134,SWF-1221,3,12,38.81320112
SWF-1134,SWF-1227,3,13,24.73809563
SWF-1134,SWF-1228,3,14,22.85025553
SWF-1134,SWF-1234,3,15,21.07776464
SWF-1134,SWF-1235,3,16,21.44032831
SWF-1134,SWF-1236,3,17,23.39958254
SWF-1134,SWF-1253,3,18,32.62157362
SWF-1134,SWF-1306,3,19,20.43452951
SWF-1134,SWF-1310,3,20,38.05313622
SWF-1134,TIM-2,3,21,37.16051891
SWF-1134,SWF-1311,3,22,20.40403022
SWF-1134,SWF-1312,3,23,38.13289296
SWF-1134,SWF-1314,3,24,35.14092916
SWF-1134,SWF-1316,3,25,18.44413486
SWF-1134,SWF-1320,3,26,29.89474715
SWF-1134,SWF-1325,3,27,33.20568053
SWF-1134,SWF-1347,3,28,24.71452409
SWF-1134,SWF-1352,3,29,25.6565366
SWF-1134,SWF-1428,3,30,40.43907087
SWF-1134,SWF-1439,3,31,15.30628647
SWF-1134,SWF-1444,3,32,37.70305364
SWF-1134,SWF-1501,3,33,46.85301452
SWF-1134,SWF-1610,3,34,37.66974879
SWF-1134,SWF-1616,3,35,31.55336499
SWF-1134,SWF-1621,3,36,20.1869753
SWF-1134,SWF-1622,3,37,46.79880584
SWF-1134,SWF-1802,3,38,18.96136577
SWF-1134,SWF-1808,3,39,19.75639867
SWF-1134,SWF-1809,3,40,19.2668255
SWF-1134,SWF-1914,3,41,46.76394563
SWF-1134,NAT-1,3,42,16.89392591
SWF-1134,NAT-2,3,43,16.54312378
SWF-1134,NAT-3,3,44,17.62713427
SWF-1134,NAT-6,3,47,17.20580586
SWF-1134,NAT-7,3,48,16.83243412
SWF-1134,NAT-9,3,49,17.19905935
SWF-1134,NAT-10,3,50,16.72444202
SWF-1134,NAT-11,3,51,18.108924
SWF-1204,SWF-1205,4,5,23.14293182
SWF-1204,SWF-1206,4,6,19.36951697
SWF-1204,SWF-1207,4,7,24.68733191
SWF-1204,SWF-1208,4,8,13.87465495
SWF-1204,SWF-1209,4,9,14.39478865
SWF-1204,SWF-1215,4,10,22.87815607
SWF-1204,SWF-1220,4,11,23.42580301
SWF-1204,SWF-1221,4,12,35.07559568
SWF-1204,SWF-1227,4,13,19.32277318
SWF-1204,SWF-1228,4,14,17.19739352
SWF-1204,SWF-1234,4,15,15.86638562
SWF-1204,SWF-1235,4,16,16.26709518
SWF-1204,SWF-1236,4,17,17.77692145
SWF-1204,SWF-1253,4,18,29.17506782
SWF-1204,SWF-1306,4,19,18.56694251
SWF-1204,SWF-1310,4,20,35.19500411
SWF-1204,TIM-2,4,21,34.34324342
SWF-1204,SWF-1311,4,22,17.47989575
SWF-1204,SWF-1312,4,23,35.53177353
SWF-1204,SWF-1314,4,24,32.7781633
SWF-1204,SWF-1316,4,25,15.03310908
SWF-1204,SWF-1320,4,26,27.37022714
SWF-1204,SWF-1325,4,27,30.98254342
SWF-1204,SWF-1347,4,28,22.08333666
SWF-1204,SWF-1352,4,29,24.44872812
SWF-1204,SWF-1428,4,30,41.87129744
SWF-1204,SWF-1439,4,31,18.04345843
SWF-1204,SWF-1444,4,32,38.7821821
SWF-1204,SWF-1501,4,33,45.31087031
SWF-1204,SWF-1610,4,34,36.72186276
SWF-1204,SWF-1616,4,35,30.57615058
