Pond1,Neighbour,Pond2,dist,Node1,Node2,Resistance
NAT-2,1,NAT-9,0.354737819517349,43,49,1.652147914
NAT-7,1,NAT-11,0.353258349169798,48,51,2.630974557
NAT-9,1,NAT-10,0.155086425701746,49,50,0.897457721
SWF-1127,1,SWF-1133,4.26600715274199,1,2,44.70061206
SWF-1134,1,SWF-1439,2.76449016301694,3,31,15.30628647
SWF-1204,1,SWF-1215,1.82441170381795,4,10,22.87815607
SWF-1205,1,SWF-1206,0.908978793401508,5,6,18.6641612
SWF-1207,1,SWF-1208,0.219923011632818,7,8,11.75829158
SWF-1215,1,SWF-1236,0.731756199266221,10,17,17.05660258
SWF-1220,1,NAT-10,6.04496855570506,11,50,13.01916736
SWF-1221,1,NAT-11,5.42593373474316,12,51,26.87663649
SWF-1227,1,SWF-1236,0.328190360746645,13,17,8.500006214
SWF-1228,1,NAT-1,0.785355003187286,14,42,8.690437373
SWF-1234,1,SWF-1235,0.256853604866342,15,16,4.980053656
SWF-1253,1,SWF-1316,1.18528325292374,18,25,20.24906165
SWF-1306,1,SWF-1352,1.0327717878699,19,29,13.47948158
SWF-1310,1,TIM-2,0.178822896007576,20,21,34.20605714
SWF-1314,1,SWF-1320,0.692222574048867,24,26,28.90856321
SWF-1428,1,SWF-1444,0.899112850657417,30,32,48.29272335
SWF-1501,1,SWF-1808,13.9394935156197,33,39,38.62793015
SWF-1610,1,SWF-1621,1.63700528919245,34,36,26.0663385
SWF-1802,1,SWF-1809,3.96339595907394,38,40,7.519742154
SWF-1808,1,SWF-1809,0.0935113385355909,39,40,1.932489906
NAT-2,2,NAT-10,0.500031966341201,43,50,1.253814231
NAT-6,2,NAT-9,0.710065296771026,47,49,2.33656209
NAT-7,2,NAT-9,0.782883684523493,48,49,2.157744231
SWF-1127,2,SWF-1134,4.80687914148703,1,3,21.34512675
SWF-1133,2,SWF-1616,6.45629912327174,2,35,52.81283085
SWF-1204,2,SWF-1228,2.29068297345588,4,14,17.19739352
SWF-1206,2,SWF-1208,2.10636383027374,6,8,13.30455849
SWF-1207,2,SWF-1209,0.773601759829491,7,9,13.80950543
SWF-1208,2,SWF-1209,0.911706671176189,8,9,2.756721614
SWF-1215,2,SWF-1227,1.05834724798413,10,13,20.19963749
SWF-1220,2,NAT-9,6.19943642139102,11,49,13.525853
SWF-1221,2,NAT-2,5.45699493583814,12,43,25.31290061
SWF-1235,2,SWF-1236,1.20366613115859,16,17,13.15671749
SWF-1306,2,SWF-1347,1.64608587346406,19,28,15.01707492
SWF-1310,2,SWF-1311,0.230263438793239,20,22,23.67291303
SWF-1314,2,SWF-1325,1.03391221689725,24,27,35.0027126
SWF-1320,2,SWF-1325,0.924880455932254,26,27,29.3172534
SWF-1428,2,SWF-1439,2.65448469351612,30,31,34.19319709
SWF-1501,2,SWF-1809,14.0326438881444,33,40,38.15054211
SWF-1610,2,SWF-1616,2.09865673710303,34,35,37.01644221
SWF-1616,2,SWF-1621,3.48765794283684,35,36,21.8459858
SWF-1802,2,SWF-1808,4.03013307758476,38,39,8.037543961
TIM-2,2,SWF-1311,0.372731997329244,21,22,24.69266775
NAT-2,3,NAT-6,0.580021916794106,43,47,1.685890629
NAT-6,3,NAT-10,0.755589680898536,47,50,1.874947529
NAT-7,3,NAT-10,0.852566625360517,48,50,1.689913289
SWF-1127,3,SWF-1439,6.37398141499846,1,31,18.84327594
SWF-1133,3,SWF-1134,6.9619840913781,2,3,47.56311454
SWF-1134,3,SWF-1428,5.24274323420482,3,30,40.43907087
SWF-1204,3,SWF-1236,2.54831113415152,4,17,17.77692145
SWF-1205,3,SWF-1207,2.96977034589396,5,7,29.77493744
SWF-1206,3,SWF-1207,2.12358195506762,6,7,24.04920117
SWF-1207,3,SWF-1316,1.3488768639391,7,25,15.41053711
SWF-1208,3,SWF-1316,1.12949394561708,8,25,4.246084804
SWF-1209,3,SWF-1253,1.37314551438917,9,18,20.39658013
SWF-1215,3,SWF-1234,1.19592023590952,10,15,20.13115948
SWF-1220,3,NAT-6,6.31469122230264,11,47,13.62697116
SWF-1221,3,NAT-6,5.54129398379502,12,47,26.03679938
SWF-1227,3,SWF-1235,1.32721244825384,13,16,15.15152055
SWF-1228,3,SWF-1236,1.55235711244658,14,17,17.45693017
SWF-1234,3,SWF-1236,1.23258589040988,15,17,13.1827317
SWF-1306,3,SWF-1325,1.74885859849066,19,27,23.93246242
SWF-1310,3,SWF-1312,1.63500857318266,20,23,45.94481169
SWF-1311,3,SWF-1312,1.75267702717468,22,23,28.68114289
SWF-1320,3,SWF-1347,1.42286424318328,26,28,22.37617527
SWF-1325,3,SWF-1347,1.47581043104981,27,28,26.11322806
SWF-1439,3,SWF-1444,3.28753877904869,31,32,31.88424173
SWF-1610,3,SWF-1622,5.71412435400961,34,37,55.41530367
SWF-1616,3,SWF-1622,3.83056480116687,35,37,46.82433569
SWF-1621,3,SWF-1622,6.61146389125289,36,37,38.38344868
TIM-2,3,SWF-1312,1.70941224560402,21,23,44.97823599
NAT-10,4,NAT-11,0.851155653897615,50,51,2.999289957
NAT-2,4,NAT-11,0.668534183218228,43,51,2.681508752
NAT-6,4,NAT-11,1.24852416170935,47,51,3.55391723
NAT-9,4,NAT-11,0.728849607047499,49,51,3.439546303
SWF-1127,4,SWF-1610,6.9585595177924,1,34,35.21912893
SWF-1133,4,SWF-1610,7.30678037785448,2,34,59.84063525
SWF-1134,4,SWF-1444,5.98680032940858,3,32,37.70305364
SWF-1204,4,SWF-1234,2.56584606111792,4,15,15.86638562
SWF-1205,4,SWF-1208,2.97837766471333,5,8,18.96787254
SWF-1206,4,SWF-1316,2.43953002095464,6,25,13.92334023
SWF-1207,4,SWF-1253,1.44419173878852,7,18,30.58119476
SWF-1208,4,SWF-1253,1.32607319452892,8,18,19.50482261
SWF-1209,4,SWF-1316,1.85312822829537,9,25,5.621935538
SWF-1215,4,SWF-1235,1.31612650220447,10,16,20.31680321
SWF-1220,4,NAT-2,6.51043585490234,11,43,13.07194279
SWF-1221,4,NAT-7,5.75198822593458,12,48,25.67022323
SWF-1227,4,SWF-1234,1.41247392105005,13,15,15.16999553
SWF-1306,4,SWF-1320,2.43922400012722,19,26,21.94651148
SWF-1310,4,SWF-1320,2.35419807564331,20,26,38.05098034
SWF-1311,4,SWF-1320,2.21440439352474,22,26,19.93503949
SWF-1312,4,SWF-1314,1.89680891997603,23,24,42.73803055
SWF-1314,4,SWF-1347,2.06203257651906,24,28,29.68149354
SWF-1316,4,SWF-1347,1.63269489630558,25,28,13.45215716
SWF-1501,4,NAT-3,14.9235858106847,33,44,35.65300305
TIM-2,4,SWF-1320,2.53298026474158,21,26,37.641222
NAT-2,5,NAT-7,0.874841819187622,43,48,1.558371423
NAT-6,5,NAT-7,1.43197419432362,47,48,2.334735276
SWF-1127,5,SWF-1616,7.372715659806,1,35,28.96774081
SWF-1133,5,SWF-1622,8.40460893731356,2,37,68.41546798
SWF-1204,5,SWF-1235,2.79680087680346,4,16,16.26709518
SWF-1205,5,SWF-1316,3.34212655786681,5,25,19.63598368
SWF-1206,5,SWF-1209,2.84203190020465,6,9,14.23266651
SWF-1215,5,SWF-1228,1.46711347644134,10,14,22.89153057
SWF-1220,5,NAT-7,6.58942400061391,11,48,13.30221336
SWF-1221,5,NAT-9,5.80538311502705,12,49,26.08915423
SWF-1227,5,SWF-1228,1.66054072636726,13,14,18.74441169
SWF-1253,5,SWF-1347,2.50027019160094,18,28,28.15658126
SWF-1306,5,SWF-1314,2.77271885100049,19,24,27.71874035
SWF-1310,5,SWF-1314,2.45351003208418,20,24,43.7369924
SWF-1311,5,SWF-1314,2.3720536417033,22,24,25.86947165
SWF-1312,5,SWF-1320,2.28101462113581,23,26,37.96729015
SWF-1325,5,SWF-1352,1.89942980735079,27,29,30.42195012
