Pond,which.1,which.2,which.3,which.4,which.5,dist.1,dist.2,dist.3,dist.4,dist.5,which.6,dist.6
NAT-1,SWF-1228,SWF-1236,SWF-1227,SWF-1215,SWF-1204,0.785355003187286,2.2004464885179,2.22383223957844,2.23718876328345,2.94479204601312,,
NAT-10,NAT-9,NAT-2,NAT-6,NAT-11,NAT-7,0.155086425701746,0.500031966341201,0.755589680898536,0.851155653897615,0.852566625360517,,
NAT-11,NAT-7,NAT-2,NAT-9,NAT-10,NAT-6,0.353258349169798,0.668534183218228,0.728849607047499,0.851155653897615,1.24852416170935,,
NAT-2,NAT-9,NAT-10,NAT-6,NAT-11,NAT-7,0.354737819517349,0.500031966341201,0.580021916794106,0.668534183218228,0.874841819187622,,
NAT-3,SWF-1501,SWF-1312,SWF-1444,SWF-1314,SWF-1325,14.9235858106847,23.9896346736559,24.7278337415082,24.7556109395761,25.2791626046864,,
NAT-6,NAT-2,NAT-9,NAT-10,NAT-11,NAT-7,0.580021916794106,0.710065296771026,0.755589680898536,1.24852416170935,1.43197419432362,,
NAT-7,NAT-11,NAT-9,NAT-10,NAT-2,NAT-6,0.353258349169798,0.782883684523493,0.852566625360517,0.874841819187622,1.43197419432362,,
NAT-9,NAT-10,NAT-2,NAT-6,NAT-11,NAT-7,0.155086425701746,0.354737819517349,0.710065296771026,0.728849607047499,0.782883684523493,,
SWF-1127,SWF-1133,SWF-1134,SWF-1439,SWF-1610,SWF-1616,4.26600715274199,4.80687914148703,6.37398141499846,6.9585595177924,7.372715659806,,
SWF-1133,SWF-1127,SWF-1616,SWF-1134,SWF-1610,SWF-1622,4.26600715274199,6.45629912327174,6.9619840913781,7.30678037785448,8.40460893731356,,
SWF-1134,SWF-1439,SWF-1127,SWF-1428,SWF-1444,SWF-1133,2.76449016301694,4.80687914148703,5.24274323420482,5.98680032940858,6.9619840913781,,
SWF-1204,SWF-1215,SWF-1228,SWF-1236,SWF-1234,SWF-1235,1.82441170381795,2.29068297345588,2.54831113415152,2.56584606111792,2.79680087680346,,
SWF-1205,SWF-1206,SWF-1204,SWF-1207,SWF-1208,SWF-1316,0.908978793401508,2.82275954618787,2.96977034589396,2.97837766471333,3.34212655786681,,
SWF-1206,SWF-1205,SWF-1208,SWF-1207,SWF-1316,SWF-1209,0.908978793401508,2.10636383027374,2.12358195506762,2.43953002095464,2.84203190020465,,
