Pond1,Pond2,V1,V2,Resistance,X1,Y1,X2,Y2
SWF-1133,SWF-1132,1,50,0.00575778349418996,364633.025401073,5025702.45353478,364897.036613613,5024714.72668787
SWF-1501,60614,2,51,0.00635704218328161,366175.004274312,5000166.00112187,364928.627415979,5000183.59028613
SWF-1622,SWF-1620,3,52,0.00425361819052488,372205.908660765,5029533.18551673,372596.017379294,5029659.62762274
SWF-1133,25257,1,53,0.0145087407756074,364633.025401073,5025702.45353478,367530.372124958,5026189.254452
SWF-1501,59513,2,54,0.0228424201004178,366175.004274312,5000166.00112187,366610.044790935,5001669.39772361
SWF-1622,62148,3,55,0.00707595914866084,372205.908660765,5029533.18551673,370846.115226271,5029053.90670668
SWF-1133,60901,1,56,0.00814666456437615,364633.025401073,5025702.45353478,366339.124213779,5023286.01612893
SWF-1501,28749,2,57,0.015251243007764,366175.004274312,5000166.00112187,366555.255685716,5002102.32062826
SWF-1622,68693,3,58,0.00953396651686014,372205.908660765,5029533.18551673,372336.512222168,5031103.9176731
SWF-1133,60970,1,59,0.00837460165428682,364633.025401073,5025702.45353478,367039.86443589,5023720.68726127
SWF-1501,68632,2,60,0.0100157460399071,366175.004274312,5000166.00112187,366547.865732215,5002195.03237745
SWF-1622,SWF-1628,3,61,0.0107111755146003,372205.908660765,5029533.18551673,370597.023784347,5029153.85579872
SWF-1133,SWF-1128,1,62,0.00870604346207563,364633.025401073,5025702.45353478,367126.551119508,5023720.55644065
SWF-1501,22150,2,63,0.0110248219508251,366175.004274312,5000166.00112187,365897.775173441,5002212.62038979
SWF-1622,25695,3,64,0.00891204018098617,372205.908660765,5029533.18551673,372900.193371945,5032359.26697319
SWF-1610,SWF-1621,4,5,0.0141706350333317,371757.270239456,5023855.79424707,373231.347809471,5023056.94940913
SWF-1215,SWF-1227,7,8,0.00850294544917777,349705.553992055,5023902.60364929,348925.700655014,5024380.53027199
SWF-1215,SWF-1234,7,9,0.0103393367733323,349705.553992055,5023902.60364929,350185.486214851,5025046.26560361
SWF-1227,SWF-1234,8,9,0.00914710123514898,348925.700655014,5024380.53027199,350185.486214851,5025046.26560361
SWF-1215,SWF-1235,7,10,0.0101389317914471,349705.553992055,5023902.60364929,350039.691707927,5025166.35370932
SWF-1227,SWF-1235,8,10,0.00873710083682575,348925.700655014,5024380.53027199,350039.691707927,5025166.35370932
SWF-1234,SWF-1235,9,10,0.00384897108372094,350185.486214851,5025046.26560361,350039.691707927,5025166.35370932
SWF-1215,SWF-1236,7,11,0.0101003805424815,349705.553992055,5023902.60364929,349286.87787217,5024160.80056156
SWF-1227,SWF-1236,8,11,0.00784015772709004,348925.700655014,5024380.53027199,349286.87787217,5024160.80056156
SWF-1234,SWF-1236,9,11,0.0117293602631206,350185.486214851,5025046.26560361,349286.87787217,5024160.80056156
SWF-1235,SWF-1236,10,11,0.0113978331988443,350039.691707927,5025166.35370932,349286.87787217,5024160.80056156
SWF-1310,TIM-2,12,13,0.00316579865383418,348435.742331743,5014655.29181007,348305.5,5014568.5
SWF-1310,SWF-1311,12,14,0.00790191704992643,348435.742331743,5014655.29181007,348591.415239137,5014838.62241878
TIM-2,SWF-1311,13,14,0.00888129311202833,348305.5,5014568.5,348591.415239137,5014838.62241878
SWF-1310,SWF-1312,12,15,0.00840835398164368,348435.742331743,5014655.29181007,349409.529477995,5013212.92964156
TIM-2,SWF-1312,13,15,0.0082083391051253,348305.5,5014568.5,349409.529477995,5013212.92964156
SWF-1311,SWF-1312,14,15,0.0134189523613789,348591.415239137,5014838.62241878,349409.529477995,5013212.92964156
SWF-1312,SWF-1314,15,16,0.00798269374363507,349409.529477995,5013212.92964156,350897.473348669,5014427.14439923
SWF-1314,SWF-1320,16,17,0.00587203828569357,350897.473348669,5014427.14439923,350743.942441377,5015037.25262821
SWF-1314,SWF-1325,16,18,0.00690148687953691,350897.473348669,5014427.14439923,351779.64759057,5015044.85782857
SWF-1320,SWF-1325,17,18,0.00699530100006401,350743.942441377,5015037.25262821,351779.64759057,5015044.85782857
SWF-1320,SWF-1347,17,19,0.00789073433051499,350743.942441377,5015037.25262821,351239.058964893,5016427.79519426
SWF-1325,SWF-1347,18,19,0.00794809474213532,351779.64759057,5015044.85782857,351239.058964893,5016427.79519426
SWF-1428,SWF-1444,21,22,0.00613545785494284,361627.192658303,5014807.79241731,361154,5014021.5
SWF-1215,SWF-1228,7,26,0.0104958024634159,349705.553992055,5023902.60364929,349066.788361716,5022696.74379202
SWF-1227,SWF-1228,8,26,0.0096402341550792,348925.700655014,5024380.53027199,349066.788361716,5022696.74379202
